timestamp,consumption_kW,pv_kW,demand_kW,sBY,sSL,pv_used_kW,pv_surplus_kW,xFC1,xFD1,bF,price_yen_per_kWh,sBYMAX_horizon,status
2024-01-01 00:00:00.000,56.0,0.0,56.0,37.939976682591784,0.0,0.0,0.0,0.0,18.428595221845118,420.7857023890774,14.13,37.939976682591784,optimal
2024-01-01 00:30:00.000,22.0,0.0,22.0,37.939976682591784,0.0,0.0,0.0,15.939976682591784,0.0,428.5962909635474,14.13,37.939976682591784,optimal
2024-01-01 01:00:00.000,22.0,0.0,22.0,37.939976682591784,0.0,0.0,0.0,15.939976682591784,0.0,436.4068795380174,13.76,37.939976682591784,optimal
2024-01-01 01:30:00.000,52.0,0.0,52.0,37.939976682591784,0.0,0.0,0.0,0.0,14.346962568783894,429.23339825362547,13.76,37.939976682591784,optimal
2024-01-01 02:00:00.000,28.0,0.0,28.0,37.939976682591784,0.0,0.0,0.0,9.939976682591784,0.0,434.10398682809546,13.940000000000001,37.939976682591784,optimal
2024-01-01 02:30:00.000,108.0,0.0,108.0,37.93997668259178,0.0,0.0,0.0,0.0,71.48981971164105,398.3590769722749,13.940000000000001,37.939976682591784,optimal
2024-01-01 03:00:00.000,88.0,0.0,88.0,37.939976682591784,0.0,0.0,0.0,0.0,51.08165644633492,372.81824874910745,14.02,37.939976682591784,optimal
2024-01-01 03:30:00.000,74.0,0.0,74.0,37.939976682591784,0.0,0.0,0.0,0.0,36.795942160620626,354.42027766879716,14.02,37.939976682591784,optimal
2024-01-01 04:00:00.000,40.0,0.0,40.0,37.939976682591784,0.0,0.0,0.0,0.0,2.102064609600221,353.36924536399704,13.75,37.939976682591784,optimal
2024-01-01 04:30:00.000,54.0,0.0,54.0,37.939976682591784,0.0,0.0,0.0,0.0,16.387778895314508,345.1753559163398,13.75,37.939976682591784,optimal
2024-01-01 05:00:00.000,42.0,0.0,42.0,37.939976682591784,0.0,0.0,0.0,0.0,4.142880936130833,343.1039154482744,14.030000000000001,37.939976682591784,optimal
2024-01-01 05:30:00.000,46.0,0.0,46.0,37.939976682591784,0.0,0.0,0.0,0.0,8.224513589192057,338.99165865367837,14.030000000000001,37.939976682591784,optimal
2024-01-01 06:00:00.000,30.0,0.0,30.0,37.939976682591784,0.0,0.0,0.0,7.939976682591784,0.0,342.88224722814834,14.33,37.939976682591784,optimal
2024-01-01 06:30:00.000,38.0,0.0,38.0,37.939976682591784,0.0,0.0,0.0,0.0,0.061248283069608486,342.85162308661353,14.33,37.939976682591784,optimal
2024-01-01 07:00:00.000,86.0,2.0,86.0,37.939976682591784,0.0,2.0,0.0,0.0,47.00002379327369,319.35161118997667,14.9,37.939976682591784,optimal
2024-01-01 07:30:00.000,76.0,26.0,76.0,37.939976682591784,0.0,26.0,0.0,0.0,12.306146242253282,313.19853806885004,14.9,37.939976682591784,optimal
2024-01-01 08:00:00.000,60.0,70.0,60.0,37.939976682591784,0.0,70.0,0.0,47.939976682591784,0.0,336.68912664332004,14.92,37.939976682591784,optimal
2024-01-01 08:30:00.000,60.0,80.0,60.0,37.939976682591784,0.0,80.0,0.0,57.939976682591784,0.0,365.07971521779,14.92,37.939976682591784,optimal
2024-01-01 09:00:00.000,52.0,106.0,52.0,3.3719576482264486,0.0,106.0,0.0,57.37195764822645,0.0,393.19197446542097,15.07,37.939976682591784,optimal
2024-01-01 09:30:00.000,20.0,114.0,20.0,0.0,0.0,114.0,0.0,94.0,0.0,439.251974465421,15.07,37.939976682591784,optimal
2024-01-01 10:00:00.000,36.0,126.0,36.0,0.0,0.0,126.0,0.0,90.0,0.0,483.351974465421,15.64,37.939976682591784,optimal
2024-01-01 10:30:00.000,20.0,132.0,20.0,0.0,0.0,132.0,0.0,112.0,0.0,538.231974465421,15.64,37.939976682591784,optimal
2024-01-01 11:00:00.000,68.0,136.0,68.0,0.0,0.0,136.0,0.0,68.0,0.0,571.551974465421,15.65,37.939976682591784,optimal
2024-01-01 11:30:00.000,66.0,136.0,66.0,0.0,0.0,136.0,0.0,70.0,0.0,605.851974465421,15.65,37.939976682591784,optimal
2024-01-01 12:00:00.000,58.0,130.0,58.0,0.0,0.0,130.0,0.0,72.0,0.0,641.131974465421,15.59,37.93997668259178,optimal
2024-01-01 12:30:00.000,62.0,124.0,62.0,0.0,0.0,124.0,0.0,62.0,0.0,671.511974465421,15.59,37.93997668259178,optimal
2024-01-01 13:00:00.000,90.0,108.0,90.0,0.0,0.0,108.0,0.0,18.0,0.0,680.331974465421,15.5,37.93997668259178,optimal
2024-01-01 13:30:00.000,62.0,98.0,62.0,0.0,0.0,98.0,0.0,36.0,0.0,697.971974465421,15.5,37.93997668259178,optimal
2024-01-01 14:00:00.000,70.0,78.0,70.0,0.0,0.0,78.0,0.0,8.0,0.0,701.891974465421,15.4,37.93997668259178,optimal
2024-01-01 14:30:00.000,26.0,64.0,26.0,0.0,0.0,64.0,0.0,38.0,0.0,720.511974465421,15.4,37.93997668259178,optimal
2024-01-01 15:00:00.000,40.0,40.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,720.511974465421,15.27,37.93997668259178,optimal
2024-01-01 15:30:00.000,78.0,20.0,78.0,37.93997668259178,0.0,20.0,0.0,0.0,20.46941154837574,710.2772686912331,15.27,37.93997668259178,optimal
2024-01-01 16:00:00.000,42.0,0.0,42.0,37.93997668259178,0.0,0.0,0.0,0.0,4.14288093613084,708.2058282231676,15.14,37.93997668259178,optimal
2024-01-01 16:30:00.000,72.0,0.0,72.0,37.93997668259178,0.0,0.0,0.0,0.0,34.75512583409002,690.8282653061226,15.14,37.93997668259178,optimal
2024-01-01 17:00:00.000,60.0,0.0,60.0,37.93997668259178,0.0,0.0,0.0,0.0,22.510227874906352,679.5731513686694,15.26,37.93997668259178,optimal
2024-01-01 17:30:00.000,78.0,0.0,78.0,37.93997668259178,0.0,0.0,0.0,0.0,40.87757481368186,659.1343639618285,15.26,37.93997668259178,optimal
2024-01-01 18:00:00.000,50.0,0.0,50.0,37.93997668259178,0.0,0.0,0.0,0.0,12.30614624225329,652.9812908407018,15.16,37.93997668259178,optimal
2024-01-01 18:30:00.000,38.0,0.0,38.0,37.93997668259178,0.0,0.0,0.0,0.0,0.06124828306961574,652.9506666991671,15.16,37.93997668259178,optimal
2024-01-01 19:00:00.000,28.0,0.0,28.0,37.93997668259178,0.0,0.0,0.0,9.939976682591777,0.0,657.821255273637,14.940000000000001,37.93997668259178,optimal
2024-01-01 19:30:00.000,28.0,0.0,28.0,37.93997668259178,0.0,0.0,0.0,9.939976682591777,0.0,662.6918438481069,14.940000000000001,37.93997668259178,optimal
2024-01-01 20:00:00.000,72.0,0.0,72.0,37.93997668259178,0.0,0.0,0.0,0.0,34.75512583409002,645.314280931062,14.98,37.93997668259178,optimal
2024-01-01 20:30:00.000,48.0,0.0,48.0,37.93997668259178,0.0,0.0,0.0,0.0,10.265329915722678,640.1816159732006,14.98,37.93997668259178,optimal
2024-01-01 21:00:00.000,56.0,0.0,56.0,37.93997668259178,0.0,0.0,0.0,0.0,18.428595221845125,630.967318362278,14.72,37.93997668259178,optimal
2024-01-01 21:30:00.000,60.0,0.0,60.0,37.93997668259178,0.0,0.0,0.0,0.0,22.510227874906352,619.7122044248248,14.72,37.93997668259178,optimal
2024-01-01 22:00:00.000,94.0,0.0,94.0,37.93997668259178,0.0,0.0,0.0,0.0,57.20410542592676,591.1101517118614,14.93,37.93997668259178,optimal
2024-01-01 22:30:00.000,52.0,0.0,52.0,37.93997668259178,0.0,0.0,0.0,0.0,14.346962568783901,583.9366704274694,14.93,37.93997668259178,optimal
2024-01-01 23:00:00.000,20.0,0.0,20.0,37.93997668259178,0.0,0.0,0.0,17.939976682591777,0.0,592.7272590019394,4.98,37.93997668259178,optimal
2024-01-01 23:30:00.000,36.0,0.0,36.0,37.93997668259178,0.0,0.0,0.0,1.9399766825917766,0.0,593.6778475764094,4.98,37.93997668259178,optimal
2024-01-02 00:00:00.000,20.0,0.0,20.0,37.939976682591755,0.0,0.0,0.0,17.939976682591755,0.0,602.4684361508794,3.9899999999999998,37.939976682591755,optimal
2024-01-02 00:30:00.000,64.0,0.0,64.0,37.939976682591755,0.0,0.0,0.0,0.0,26.591860527967597,589.1725058868956,3.9899999999999998,37.939976682591755,optimal
2024-01-02 01:00:00.000,52.0,0.0,52.0,37.939976682591755,0.0,0.0,0.0,0.0,14.346962568783924,581.9990246025036,3.9899999999999998,37.939976682591755,optimal
2024-01-02 01:30:00.000,58.0,0.0,58.0,37.939976682591755,0.0,0.0,0.0,0.0,20.46941154837576,571.7643188283157,3.9899999999999998,37.939976682591755,optimal
2024-01-02 02:00:00.000,62.0,0.0,62.0,37.939976682591755,0.0,0.0,0.0,0.0,24.551044201436984,559.4887967275972,3.9899999999999998,37.939976682591755,optimal
2024-01-02 02:30:00.000,110.0,0.0,110.0,37.93997668259175,0.0,0.0,0.0,0.0,73.53063603817169,522.7234787085114,3.9899999999999998,37.939976682591755,optimal
2024-01-02 03:00:00.000,58.0,0.0,58.0,37.939976682591755,0.0,0.0,0.0,0.0,20.46941154837576,512.4887729343235,3.9899999999999998,37.939976682591755,optimal
2024-01-02 03:30:00.000,22.0,0.0,22.0,37.939976682591755,0.0,0.0,0.0,15.939976682591755,0.0,520.2993615087935,3.9899999999999998,37.939976682591755,optimal
2024-01-02 04:00:00.000,24.0,0.0,24.0,37.939976682591755,0.0,0.0,0.0,13.939976682591755,0.0,527.1299500832635,3.9899999999999998,37.939976682591755,optimal
2024-01-02 04:30:00.000,34.0,0.0,34.0,37.939976682591755,0.0,0.0,0.0,3.9399766825917553,0.0,529.0605386577334,3.9899999999999998,37.939976682591755,optimal
2024-01-02 05:00:00.000,58.0,0.0,58.0,37.939976682591755,0.0,0.0,0.0,0.0,20.46941154837576,518.8258328835456,5.48,37.939976682591755,optimal
2024-01-02 05:30:00.000,34.0,0.0,34.0,37.939976682591755,0.0,0.0,0.0,3.9399766825917553,0.0,520.7564214580156,5.48,37.939976682591755,optimal
2024-01-02 06:00:00.000,72.0,0.0,72.0,37.939976682591755,0.0,0.0,0.0,0.0,34.755125834090045,503.37885854097055,12.85,37.939976682591755,optimal
2024-01-02 06:30:00.000,58.0,0.0,58.0,37.939976682591755,0.0,0.0,0.0,0.0,20.46941154837576,493.14415276678267,12.85,37.939976682591755,optimal
2024-01-02 07:00:00.000,58.0,4.0,58.0,37.939976682591755,0.0,4.0,0.0,0.0,16.387778895314536,484.9502633191254,13.98,37.939976682591755,optimal
2024-01-02 07:30:00.000,82.0,40.0,82.0,37.939976682591755,0.0,39.99999999999999,7.105427357601002e-15,0.0,4.1428809361308625,482.87882285105997,13.98,37.939976682591755,optimal
2024-01-02 08:00:00.000,20.0,82.0,20.0,37.939976682591755,0.0,82.0,0.0,99.93997668259175,0.0,531.84941142553,13.98,37.939976682591755,optimal
2024-01-02 08:30:00.000,20.0,94.0,20.0,37.939976682591755,0.0,94.0,0.0,111.93997668259175,0.0,586.6999999999999,13.98,37.939976682591755,optimal
2024-01-02 09:00:00.000,28.0,88.0,28.0,0.0,0.0,88.0,0.0,60.0,0.0,616.0999999999999,15.38,37.939976682591755,optimal
2024-01-02 09:30:00.000,28.0,94.0,28.0,0.0,0.0,94.0,0.0,66.0,0.0,648.4399999999999,15.38,37.939976682591755,optimal
2024-01-02 10:00:00.000,60.0,84.0,60.0,0.0,0.0,84.0,0.0,24.0,0.0,660.1999999999999,15.66,37.939976682591755,optimal
2024-01-02 10:30:00.000,38.0,88.0,38.0,0.0,0.0,88.0,0.0,50.0,0.0,684.6999999999999,15.66,37.939976682591755,optimal
2024-01-02 11:00:00.000,72.0,114.0,72.0,0.0,0.0,114.0,0.0,42.0,0.0,705.28,15.71,37.939976682591755,optimal
2024-01-02 11:30:00.000,72.0,112.0,72.0,0.0,0.0,112.0,0.0,40.00000000000001,0.0,724.88,15.71,37.939976682591755,optimal
2024-01-02 12:00:00.000,58.0,116.0,58.0,0.0,0.0,116.0,0.0,58.0,0.0,753.3,15.790000000000001,37.93997668259178,optimal
2024-01-02 12:30:00.000,64.0,110.0,64.0,0.0,0.0,110.0,0.0,46.0,0.0,775.8399999999999,15.790000000000001,37.93997668259178,optimal
2024-01-02 13:00:00.000,44.0,82.0,44.0,0.0,0.0,82.0,0.0,38.0,0.0,794.4599999999999,15.83,37.93997668259178,optimal
2024-01-02 13:30:00.000,28.0,74.0,28.0,0.0,0.0,74.0,0.0,46.0,0.0,816.9999999999999,15.83,37.93997668259178,optimal
2024-01-02 14:00:00.000,84.0,50.0,84.0,0.0,0.0,50.0,0.0,0.0,34.69387755102041,799.6530612244896,15.8,37.93997668259178,optimal
2024-01-02 14:30:00.000,30.0,40.0,30.0,0.0,0.0,40.0,0.0,10.000000000000002,0.0,804.5530612244896,15.8,37.93997668259178,optimal
2024-01-02 15:00:00.000,46.0,18.0,46.0,0.0,0.0,18.0,0.0,0.0,28.571428571428573,790.2673469387753,15.81,37.93997668259178,optimal
2024-01-02 15:30:00.000,82.0,10.0,82.0,0.0,0.0,10.0,0.0,0.0,73.46938775510205,753.5326530612242,15.81,37.93997668259178,optimal
2024-01-02 16:00:00.000,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,61.224489795918366,722.920408163265,15.8,37.93997668259178,optimal
